位置編號,DBSCAN-Test1,DBSCAN-Test2,DBSCAN-Test3,HDBSCAN-Test1,HDBSCAN-Test2,HDBSCAN-Test3
0,0,0,0,0,0,0
1,6.09,6.96,8.44,-2.45,37.86,-0.4
2,58.7,6.26,7.69,-7.36,24.98,-17.76
3,71.91,14.11,-3.05,-4.04,28.86,-12.37
4,57.34,21.51,-5.92,-1.86,19.49,-11.98
5,41.87,30.3,-31.5,5.55,13.96,-21.1
6,15.92,27.88,-46.66,10.93,8.22,-21.1
7,-7.36,12.13,-47.66,6.46,-6.62,-13.41
8,-27.07,14.85,-52.2,9.88,-1.61,-18.23
9,-48.56,10.6,-61.15,18.94,-5.06,-31.38
10,-58.54,-3.97,-50.72,11.01,3.58,-34.97
11,-45.57,-20.62,-46.45,10.07,15.36,-26.3
12,-41.38,-19.3,-42.14,2.12,15.71,-19.7
13,-21.42,-3.6,-24.27,6.02,46.76,11.31
14,21.37,37.66,-0.08,1.3,86.05,72.6
15,73.74,104.8,6.28,6.26,94.81,103.95
16,88.02,117.31,10.06,20.85,82.31,102.95
17,81.02,100.75,13.85,14.01,43.76,88.79
18,63.94,56.09,9.88,20.48,6.45,50.5
19,43.36,2.95,-17.5,15.05,-60.19,-6.22
20,-18.77,-80.74,-55.61,-27.18,-98.76,-71.19
21,-74.78,-121.96,-83.96,-96.53,-119.83,-132.12
22,-112.62,-115.26,-55.89,-125.94,-109.26,-120.04
23,-109.41,-96.12,-40.72,-114.59,-93.47,-104.52
24,-91.86,-62.24,-34.74,-96.05,-75.68,-91.92
25,-64.05,-15.69,-35.66,-79.59,-59.4,-67.93
26,-46.48,19.68,-26.9,-48.46,-44.95,-55.38
27,-19.12,36.95,-21.28,-33.23,-34.78,-41.49
28,19.83,57.78,-15.72,3.36,-6.23,-34.43
29,44.14,39.25,-36.02,14.17,10.95,-14.05
30,47.85,27.62,-36.86,23.61,43.64,22.72
31,46.94,22.77,-45.55,24.32,52.15,33.87
32,35.8,6.8,-63.4,21.2,56.87,54.97
33,15.76,-7.68,-89.4,21.7,36.61,45.86
34,6.6,-21.1,-92.92,3.04,17.52,42.38
35,-3.18,-55.3,-114.72,-7.33,-1.72,36.39
36,-15.84,-75.2,-122.11,-12.14,-24.57,24.61
37,-26.34,-106.86,-115.75,-33.13,-54.32,-6.08
38,-48.28,-105.34,-90.22,-75.77,-84.23,-31
39,-49.81,-112.26,-62.3,-85.88,-107.4,-66.38
40,-56.39,-93.9,-59.22,-96.96,-110.19,-91.21
41,-64.77,-85.21,-64.83,-103.43,-120.03,-107.65
42,-66.99,-79.61,-67.82,-93.39,-100.55,-115.78
43,-73.13,-112.19,-73.5,-69.51,-80.5,-105.35
44,-76.19,-119.83,-73.6,-53.28,-54.94,-78.97
45,-66.42,-75.46,-76.02,-38.67,-36.33,-53.21
46,-55.33,-44.4,-80.43,-23.95,-15.83,-36.36
47,-53.04,-21.99,-80.07,-5.33,-11.82,-13.68
48,-42.9,-2.27,-74.71,3.77,-10.16,4.27
49,-25.46,18.23,-54.38,-1.55,-1.02,23.13
50,-20.28,47.26,-39.06,2.89,1.37,22.89
51,-3.19,45.72,-30.29,0.28,-0.37,15.46
52,12.61,29.61,-14.86,6.99,12.71,18.83
53,40.46,31.58,0.65,12.36,7.93,17.63
54,58.82,18.06,-15.82,12.98,0.22,14.03
55,76.76,15.07,-27.79,0.34,-24.33,3.64
56,50.25,-9.77,-31.95,-21.7,-38.08,-7.33
57,4.57,-43.02,-43.34,-49.66,-70.48,-27.31
58,-29.48,-59.71,-64.99,-84.85,-97.24,-56.91
59,-70.24,-75.62,-71.07,-105.83,-110.84,-103.94
60,-91.27,-98.72,-40.66,-114.21,-111.64,-119.22
61,-74.64,-76.74,1.23,-100.66,-66.97,-112.9
62,-38.37,-53.14,31.27,-70.16,-48.36,-88.37
63,-6.94,-37.14,54.54,-64.77,-12.5,-72.74
64,13.7,-16.83,62.51,-40.61,22.72,-39.33
65,39.16,11.79,71.91,-6.71,43.92,-23.31
66,54.64,39.06,66.89,13.94,48.73,8.35
67,42.1,44.16,36.47,37.3,56.15,29.9
68,36.06,63.48,-7.99,48.73,21.5,53.18
69,27.57,48.38,-66.37,49.79,-49.16,51.13
70,3.66,34.88,-103.24,3.56,-107.77,22.79
71,-8.66,-30.4,-69.39,-37.46,-111.9,-56.4
72,-40.29,-89.96,-35.82,-70.28,-107.55,-134.03
73,-68.24,-113.38,-5.2,-67.4,-74.24,-105.93
74,-57.59,-101.74,14.74,-73.14,-54.93,-99.35
75,-56.99,-93.48,33.41,-61,-49.85,-75.5
76,-35.87,-76.31,37.49,-48.98,-42.56,-20.67
77,-17.09,-44.58,45.02,-30.13,-45.25,12.14
78,-1.07,-10.57,54.36,-4.64,-38.57,40.36
79,30.96,32.7,66.42,32.64,-22.77,69.63
80,50.58,71.82,65.37,77.84,27.76,78.53
81,72.71,79.94,68.2,97.23,64.06,77.09
82,86.65,78.37,100.68,93.95,89.71,81.65
83,105.71,86.54,127.33,107.18,99.89,90.77
84,114.23,103.62,,125.34,110.98,105.62
85,119.79,129.67,,,143,130.02
86,140.76,131.51,,,144.44,
87,,112.88,,,,
